"","citizen","count"
"1","Argentina",3
"2","Australia",18
"3","Australia/New Zealand",1
"4","Austria",4
"5","Bangladesh",2
"6","Belgium",3
"7","Brazil",5
"8","Bulgaria",1
"9","Canada",19
"10","Chile",6
"11","China",86
"12","China/USA",1
"13","Colombia",3
"14","Croatia",4
"15","Czech Republic",1
"16","Denmark",3
"17","Ecuador",3
"18","Finland",4
"19","France",13
"20","Germany",11
"21","Greece",3
"22","Guatemala",2
"23","Hungary",3
"24","Iceland",1
"25","India",95
"26","Indonesia",3
"27","Iran",3
"28","Ireland",4
"29","Ireland/UK",1
"30","Italy",5
"31","Japan",27
"32","Kazakhstan",1
"33","Kosovo",3
"34","Latvia",1
"35","Lebanon",3
"36","Lithuania",1
"37","Macedonia",1
"38","Malaysia",3
"39","Mexico",8
"40","Mongolia",2
"41","Morocco",2
"42","Nepal",66
"43","Netherlands",4
"44","New Zealand",12
"45","Norway",12
"46","Oman",1
"47","Pakistan",1
"48","Palestine",1
"49","Peru",1
"50","Philippines",3
"51","Poland",15
"52","Portugal",1
"53","Romania",1
"54","Russia",20
"55","S Africa",5
"56","S Africa/Zambia",1
"57","S Korea",9
"58","Saudi Arabia",2
"59","Serbia",1
"60","Serbia/Jordan",1
"61","Singapore",7
"62","Spain",7
"63","Sri Lanka",1
"64","Sweden",4
"65","Switzerland",12
"66","Taiwan",3
"67","Thailand",1
"68","Turkey",5
"69","UK",50
"70","UK/Russia",1
"71","Ukraine",3
"72","United States",86
"73","USA/Brazil",1
"74","USA/Ireland",1
"75","USA/Poland",1
"76","USSR",1
"77","Uzbekistan",1
"78","W Germany",1
"79","Yugoslavia",1
